Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Predicted
41,1,1,1,2,2,2,3,2,1,4,5993,19479,1,11,3,8,6,4,0,5,Yes,No
49,2,2,8,1,2,1,2,2,2,2,5130,24907,2,23,4,10,10,7,1,7,No,No
37,1,2,2,2,3,1,2,1,3,3,2090,2396,1,15,3,7,0,0,0,0,Yes,No
33,2,2,3,4,2,2,3,1,2,3,2909,23159,1,11,3,8,8,7,3,0,No,No
27,1,2,2,1,1,1,3,1,3,2,3468,16632,2,12,3,6,2,2,2,2,No,No
32,2,2,2,2,2,1,3,1,3,4,3068,11864,2,13,3,8,7,7,3,6,No,No
59,1,2,3,3,1,2,4,1,3,1,2670,9964,1,20,4,12,1,0,0,0,No,No
30,1,2,24,1,2,1,3,1,3,3,2693,13335,2,22,4,1,1,0,0,0,No,No
38,2,2,23,3,2,1,2,3,8,3,9526,8787,2,21,4,10,9,7,1,8,No,No
36,1,2,27,3,1,1,3,2,4,3,5237,16577,2,13,3,17,7,7,7,7,No,No
35,1,2,16,3,1,1,4,1,3,2,2426,16479,2,13,3,6,5,4,0,3,No,No
29,1,2,15,2,2,2,2,2,3,3,4193,12682,1,12,3,10,9,5,0,8,No,No
31,1,2,26,1,2,1,3,1,2,3,2911,15170,2,17,3,5,5,2,4,3,No,No
34,1,2,19,2,1,1,3,1,3,4,2661,8758,2,11,3,3,2,2,1,2,No,No
28,1,2,24,3,2,1,2,1,3,3,2028,12947,1,14,3,6,4,2,0,3,Yes,No
29,1,2,21,4,2,2,4,3,8,1,9980,10195,2,11,3,10,10,9,8,8,No,No
32,1,2,5,2,2,1,4,1,2,2,3298,15053,1,12,3,7,6,2,0,5,No,No
22,3,2,16,2,1,1,4,1,3,4,2935,7324,1,13,3,1,1,0,0,0,No,No
53,1,1,2,4,2,2,2,4,5,4,15427,22021,2,16,3,31,25,8,3,7,No,No
38,1,2,2,3,2,1,3,1,2,4,3944,4306,1,11,3,6,3,2,1,2,No,No
24,3,2,11,2,3,2,4,2,8,3,4011,8232,2,18,3,5,4,2,1,3,No,No
36,1,1,9,4,2,1,2,1,6,1,3407,6986,2,23,4,10,5,3,0,3,Yes,No
34,1,2,7,4,2,2,3,3,7,2,11994,21293,2,11,3,13,12,6,2,11,No,No
21,1,2,15,2,2,1,3,1,2,4,1232,19281,2,14,3,0,0,0,0,0,No,No
34,1,2,6,1,1,1,3,1,2,1,2960,17102,2,11,3,8,4,2,1,3,Yes,No
53,1,2,5,3,3,2,3,5,5,3,19094,10735,2,11,3,26,14,13,4,8,No,No
32,2,2,16,1,2,2,1,1,2,1,3919,4681,1,22,4,10,10,2,6,7,Yes,No
42,1,1,8,4,4,1,3,2,1,2,6825,21173,2,11,3,10,9,7,4,2,No,No
44,1,2,7,4,1,2,2,3,4,4,10248,2094,2,14,3,24,22,6,5,17,No,No
46,1,1,2,4,4,2,3,5,5,1,18947,22822,2,12,3,22,2,2,2,1,No,No
33,1,2,2,3,1,1,3,1,3,4,2496,6670,2,11,3,7,1,1,0,0,No,No
44,1,2,10,4,3,1,3,2,4,4,6465,19121,1,13,3,9,4,2,1,3,No,No
30,1,2,9,2,1,1,2,1,3,3,2206,16117,2,13,3,10,10,0,1,8,No,No
39,1,1,5,3,5,1,3,2,6,4,2086,3335,2,14,3,19,1,0,0,0,Yes,Yes
24,1,2,1,3,1,1,3,1,2,4,2293,3020,1,16,3,6,2,0,2,0,Yes,No
43,1,2,2,2,1,2,4,1,2,3,2645,21923,2,12,3,6,5,3,1,4,No,No
50,1,1,3,2,4,1,2,1,6,3,2683,3810,1,14,3,3,3,2,0,2,Yes,No
35,1,1,2,3,4,2,3,1,6,4,2014,9687,2,13,3,2,2,2,2,2,No,No
36,1,2,5,4,2,2,2,1,2,1,3419,13072,1,14,3,6,1,1,0,0,No,No
33,2,1,1,3,2,2,4,2,1,1,5376,3193,2,19,3,10,5,3,1,3,No,No
35,1,2,4,2,3,1,3,1,3,4,1951,10910,2,12,3,1,1,0,0,0,No,No
27,1,2,2,4,2,2,3,1,3,1,2341,19715,2,13,3,1,1,0,0,0,No,No
26,1,2,25,3,2,1,1,1,3,3,2293,10558,2,12,3,1,1,0,0,1,Yes,No
27,2,1,8,3,2,1,3,3,1,3,8726,2975,2,15,3,9,9,8,1,7,No,No
30,2,2,1,2,1,2,3,2,3,4,4011,10781,2,23,4,12,12,8,3,7,No,No
41,1,2,12,3,5,2,3,5,7,3,19545,16280,2,12,3,23,22,15,15,8,Yes,No
34,3,1,23,4,4,1,3,2,1,3,4568,10034,2,20,4,10,9,5,8,7,No,No
37,1,2,19,2,2,1,3,1,2,2,3022,10227,2,21,4,8,1,0,0,0,No,No
46,2,1,5,4,4,1,3,2,1,4,5772,20445,1,21,4,14,9,6,0,8,No,No
35,1,2,8,1,2,1,4,1,3,4,2269,4892,2,19,3,1,1,0,0,1,No,No
48,1,2,1,2,2,1,2,3,3,3,5381,19294,1,13,3,23,1,0,0,0,Yes,No
28,1,2,5,4,5,1,3,1,3,3,3441,11179,1,13,3,2,2,2,2,2,Yes,No
44,1,1,1,5,4,2,3,2,1,1,5454,4009,1,21,4,9,4,3,1,3,No,No
35,3,2,11,2,1,1,2,3,4,1,9884,8302,1,13,3,10,4,0,2,3,No,No
26,1,1,23,3,4,2,2,2,1,4,4157,21436,1,19,3,5,2,2,0,0,No,No
33,2,2,1,2,2,2,3,3,7,4,13458,15146,1,12,3,15,15,14,8,12,No,No
35,2,1,18,5,2,1,3,3,1,1,9069,11031,2,22,4,9,9,8,1,8,No,No
35,1,2,23,4,1,2,3,1,3,1,4014,16002,1,15,3,4,2,2,2,2,No,No
31,1,2,7,4,2,1,3,2,3,4,5915,9528,2,22,4,10,7,7,1,7,No,No
37,1,2,1,4,2,1,2,2,8,3,5993,2689,2,18,3,7,7,5,0,7,No,No
32,1,2,1,3,1,1,3,2,8,4,6162,10877,1,22,4,9,9,8,7,8,No,No
38,2,2,29,5,2,2,3,2,3,4,2406,5456,2,11,3,10,10,3,9,9,No,No
